carat,x dimension,clarity_ i1,clarity_ si1,clarity_ si2,cut_ fair,cut_ good,cut_ ideal,cut_ premium,cut_ very good,price
1.2,6.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10100.0
0.95,6.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6900.0
1.25,6.9,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10500.0
1.6,7.3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3400.0
0.55,5.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2600.0
1.15,6.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9600.0
0.7989999999999999,6.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5000.0
0.7989999999999999,6.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7900.0
0.4,4.7,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2400.0
0.85,5.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4800.0
0.7989999999999999,5.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2700.0
0.7989999999999999,6.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7600.0
0.7989999999999999,5.9,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2200.0
0.75,5.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4400.0
1.05,6.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9300.0
0.7,5.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4200.0
0.45,4.8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1500.0
1.05,6.7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7400.0
0.9,6.3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6900.0
0.5,5.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3200.0
0.95,6.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9400.0
0.7989999999999999,6.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7900.0
0.7,5.7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4100.0
0.4,4.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2600.0
0.45,4.9,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2100.0
0.6,5.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3500.0
0.7989999999999999,6.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7700.0
0.85,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6500.0
0.5,5.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3200.0
0.7989999999999999,6.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9300.0
0.7989999999999999,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7600.0
0.7989999999999999,5.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3000.0
0.5,5.1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2900.0
0.65,5.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3400.0
0.7989999999999999,4.8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1200.0
0.4,4.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1800.0
0.7,5.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4300.0
0.75,5.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4400.0
0.7989999999999999,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2600.0
0.7989999999999999,6.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8000.0
0.7989999999999999,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2700.0
0.7989999999999999,6.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7700.0
0.55,5.3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1800.0
0.7989999999999999,5.6,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2900.0
0.55,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2800.0
0.7989999999999999,5.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2200.0
0.7989999999999999,6.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8100.0
1.05,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9200.0
